ASIN	Status
B017BPR888	Good	
B017BPR9Q4	Good	
B017BPRB4O	Good	
B017BPRCMA	Good	
B017BPRE6O	Good	
B017BPRFRW	Good	
B017BPRH5C	Good	
B017BPRIBK	Good	
B017BPRIW4	Good	
B017BPRKFY	Good	
B017BPRKUO	Good	
B017BPRM52	Good	
B017BPRNQA	Good	
B017BPRQDU	Good	
B017BPRS7E	Good	
B017BPRU0O	Good	
B017BPRVNA	Good	
B017BPS48G	Good	
B017BPS5LM	Good	
B017BPS5TY	Good	
B017BPS75G	Good	
B017BPS8Q4	Good	
B017BPS97C	Good	
B017BPSB3Y	Good	
B017BPSCBA	Good	
B017BPSCVA	Good	
B017BPSE7W	Good	
B017BPSEHC	Good	
B017BPSFSK	Good	
B017BPSH7E	Good	
B017BPSHA6	Good	
B017BPSIL4	Good	
B017BPSIN2	Good	
B017BPSK62	Good	
B017BPSK6M	Good	
B017BPSLX4	Good	
B017BPSO0Y	Good	
B017BPSQ2A	Good	
B017BPSXZK	Good	
B017BPSY9A	Good	
B017BPSZMG	Good	
B017BPSZSA	Good	
B017BPT174	Good	
B017BPT17E	Good	
B017BPT2HI	Good	
B017BPT2LO	Good	
B017BPT3WC	Good	
B017BPT41M	Good	
B017BPT5F2	Good	
B017BPT796	Good	
B017BPTA6Q	Good	
B017BPTEEY	Good	
B017BPTEJY	Good	
B017BPTFZ2	Good	
B017BPTHG4	Good	
B017BPTIKY	Good	
B017BPTJ3K	Good	
B017BPTP98	Good	
B017BPTRO6	Good	
B017BPTSJU	Good	
B017BPTTLM	Good	
B017BPTU2A	Good	
B017BPTUXY	Good	
B017BPTVTM	Good	
B017BPTWUK	Good	
B017BPTXF4	Good	
B017BPTYR6	Good	
B017BPU0YW	Good	
B017BPU2GI	Good	
B017BPU2MW	Good	
B017BPU4C0	Good	
B017BPU4D4	Good	
B017BPU5VK	Good	
B017BPU60A	Good	
B017BPU7PE	Good	
B017BPU8DA	Good	
B017BPU9IE	Good	
B017BPUA06	Good	
B017BPUB6E	Good	
B017BPUBVO	Good	
B017BPUDFS	Good	
B017BPUFNS	Good	
B017BPUN5S	Good	
B017BPUOWU	Good	
